text,label
Sáng nay mình thật sự không muốn ra khỏi giường chút nào.,5
"Mình chỉ muốn biến thành một cái cây, chỉ cần đứng yên một chỗ là được.",6
Đầu óc lúc nào cũng nặng trĩu.,5
Việc viết nhật ký mỗi ngày là một thói quen rất tốt.,0
Mình đang tập thói quen uống đủ nước mỗi ngày.,0
Thật khó để giải thích cho người khác hiểu cảm giác của mình.,4
Hôm nay mình đã hoàn thành tất cả các mục tiêu đã đề ra.,0
Có lẽ mình mãi mãi cũng không thể đạt được thành công.,5
Không biết kết quả cuối cùng có xứng đáng với công sức bỏ ra không.,1
Mình đã nghĩ rằng hôm nay sẽ là một ngày đặc biệt và đáng nhớ.,3
"Mình tin rằng nếu mình hoàn toàn im lặng, sẽ không có một ai đi tìm mình cả.",4
Mình đang nghĩ xem ngày mai nên mặc gì để đi chơi.,0
Cuối cùng thì mọi thứ vẫn quay trở về đúng vị trí cũ.,3
Mọi thứ đều thật nhạt nhẽo và vô vị.,6
Mình thích cảm giác tự mình hoàn thành một việc gì đó.,0
"Mình đã nghĩ rằng mình hiểu rất rõ về họ, nhưng có lẽ là không phải vậy.",3
Mình chỉ còn là một cái vỏ rỗng không chứa đựng gì bên trong.,5
Tại sao họ không thể trả lời thẳng vào vấn đề mà cứ vòng vo tam quốc?,2
Thật buồn khi phải tự mình đối mặt với tất cả mọi khó khăn.,4
Thật buồn khi phải tự mình trải qua tất cả mọi chuyện khó khăn.,4
"Mình biết mình cần sự giúp đỡ, nhưng lại không biết mở lời thế nào.",4
Mình vừa tìm được một công thức làm bánh rất đơn giản.,0
Món ăn ở nhà hàng này thực sự không ngon như mình tưởng tượng.,3
Việc phải chọn xem hôm nay ăn gì cũng là một quyết định quá sức.,5
Mình cảm thấy khá sảng khoái sau một giấc ngủ trưa ngắn.,0
Ước gì có một cuốn sách hướng dẫn cách để sống sót qua chuyện này.,6
Cảm giác như mình đang từ từ tan biến vào trong bóng tối.,6
Anh ấy lại quên mất ngày kỷ niệm quan trọng của chúng mình.,3
Mình nhớ những ngày tháng vô tư không phải lo nghĩ gì.,4
Mình chán nản với việc phải luôn tỏ ra mạnh mẽ và không bao giờ được yếu đuối.,5
Buổi tiệc sinh nhật đã không có gì đặc biệt và đáng nhớ cả.,3
Mình cảm thấy như mình đang làm mọi người xung quanh cũng buồn bã theo.,4
Mình không biết phải làm gì tiếp theo với cuộc đời của mình nữa.,5
Thật vui khi nhận được lời mời tham gia một sự kiện hay ho.,0
Mình rất tò mò về văn hóa và phong tục của các quốc gia khác.,0
Tuần sau mình sẽ có một chuyến đi công tác ở Hà Nội.,0
